title,Directed by,Produced by,Written by,Starring,Music by,Based on,Cinematography,Screenplay by,Edited by,Production company,Production companies,Distributed by,Story by,Narrated by,Release date,Running time,Country,Language,Budget,Box office
Where the Wild Things Are,Spike Jonze,"['Tom Hanks', 'Gary Goetzman', 'Maurice Sendak', 'John Carls', 'Vincent Landay']",,"['Max Records', 'Catherine Keener', 'Mark Ruffalo', 'Lauren Ambrose', 'Chris Cooper', 'James Gandolfini', ""Catherine O'Hara"", 'Forest Whitaker']","['Karen O', 'Carter Burwell']","['Where the Wild Things Are', 'by Maurice Sendak']",Lance Acord,"['Spike Jonze', 'Dave Eggers']","['Eric Zumbrunnen', 'James Haygood']","['Legendary Pictures', 'Village Roadshow Pictures', 'Wild Things Productions', 'Playtone']",,Warner Bros. Pictures,,,"['13October2009 ( 2009-10-13 ) ( New York City )', '16October2009 ( 2009-10-16 ) (United States)', '3December2009 ( 2009-12-03 ) (Australia)', '17December2009 ( 2009-12-17 ) (Germany)']",101 minutes [1],"['Australia', 'Germany', 'United States', '[2]']",English,$100 million [1],$100.1 million [1]
Beyond All Boundaries,David Briggs,,"Chris Ellis, Christopher Ellis",,,,,,,,,,,Tom Hanks,['9November2009 ( 2009-11-09 )'],,USA,English,,
Toy Story 3,Lee Unkrich,Darla K. Anderson,,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'Blake Clark', 'Jeff Pidgeon', 'Ned Beatty', 'Michael Keaton', 'Jodi Benson', 'John Morris']",Randy Newman,,"['Jeremy Lasky', 'Kim White']",Michael Arndt,Ken Schretzmann,"['Walt Disney Pictures', 'Pixar Animation Studios']",,"['Walt Disney Studios', 'Motion Pictures']","['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",,"['June12,2010 ( 2010-06-12 ) ( Taormina Film Fest )', 'June18,2010 ( 2010-06-18 ) (United States)']",103 minutes [1],United States,English,$200million [1],$1.067billion [1]
Hawaiian Vacation,Gary Rydstrom,Galyn Susman,,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Estelle Harris', 'Wallace Shawn', 'John Ratzenberger', 'Blake Clark', 'Jeff Pidgeon', 'Jodi Benson', 'Michael Keaton', 'Timothy Dalton', 'Jeff Garlin', 'Kristen Schaal', 'Bonnie Hunt', 'Bud Luckey']",Mark Mothersbaugh,,,"['Erik Benson', 'Jason Katz', 'Gary Rydstrom']",Axel Geddes,"['Walt Disney Pictures', 'Pixar Animation Studios']",,"['Walt Disney Studios', 'Motion Pictures']","['Erik Benson', 'Christian Roman']",,"['June24,2011 ( 2011-06-24 ) (with Cars 2 )']",6 minutes,United States,English,,
Larry Crowne,Tom Hanks,"['Gary Goetzman', 'Tom Hanks']","['Tom Hanks', 'Nia Vardalos']","['Tom Hanks', 'Julia Roberts', 'Bryan Cranston', 'Cedric the Entertainer', 'Taraji P. Henson', 'Gugu Mbatha-Raw', 'Wilmer Valderrama', 'Pam Grier']",James Newton Howard,,Philippe Rousselot,,Alan Cody,"['Vendôme Pictures', 'Playtone']",,Universal Pictures,,,"['June27,2011 ( 2011-06-27 ) (Hollywood premiere)', 'July1,2011 ( 2011-07-01 ) (United States)']",99 minutes,United States,English,$30 million [1],$72 million [1]
Small Fry,Angus MacLane,Kim Jorgensen,Angus MacLane,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Estelle Harris', 'Wallace Shawn', 'John Ratzenberger', 'Teddy Newton', 'Angus MacLane', 'Jane Lynch', 'Timothy Dalton']",Henry Jackman,,,,Torbin Xan Bullock,"['Walt Disney Pictures', 'Pixar Animation Studios']",,Walt Disney Studios Motion Pictures,"['John Lasseter', 'Angus MacLane']",,"['November23,2011 ( 2011-11-23 ) (with The Muppets )']",7:03,United States,English,,
Extremely Loud & Incredibly Close,Stephen Daldry,Scott Rudin,,"['Tom Hanks', 'Sandra Bullock', 'Thomas Horn', 'Max von Sydow', 'Viola Davis', 'John Goodman', 'Jeffrey Wright']",Alexandre Desplat,"['Extremely Loud & Incredibly Close', 'by', 'Jonathan Safran Foer']",Chris Menges,Eric Roth,Claire Simpson,Scott Rudin Productions [1],,Warner Bros. Pictures,,,"['December25,2011 ( 2011-12-25 )']",129 minutes,United States,English,$40 million [2],$55.2 million [3]
Cloud Atlas,"['Lana Wachowski', 'Tom Tykwer', 'Lilly Wachowski [a]']","['Grant Hill', 'Stefan Arndt', 'Lana Wachowski', 'Tom Tykwer', 'Lilly Wachowski [a]']",,"['Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Doona Bae', 'Ben Whishaw', ""James D'Arcy"", 'Zhou Xun', 'Keith David', 'Susan Sarandon', 'Hugh Grant']","['Tom Tykwer', 'Johnny Klimek', 'Reinhold Heil']","['Cloud Atlas', 'by', 'David Mitchell']","['John Toll', 'Frank Griebe']","['Lana Wachowski', 'Tom Tykwer', 'Lilly Wachowski [a]']",Alexander Berner,,"['Cloud Atlas Production', 'X-Filme Creative Pool', 'Anarchos Productions']","['Warner Bros. Pictures', '(United States)', 'X-Verleih (Germany)']",,,"['8September2012 ( 2012-09-08 ) ( TIFF )', '26October2012 ( 2012-10-26 ) (United States)', '15November2012 ( 2012-11-15 ) (Germany)']",172 minutes [1] [2],"['Germany', 'United States [3]']",English,$100–146.7 million [4] [5],$130.5 million [6]
Partysaurus Rex,Mark Walsh,Kim Adams [1],Mark Walsh [1],"['Wallace Shawn', 'Tom Hanks', 'Tim Allen', 'Corey Burton', 'Tony Cox', 'Don Fullilove', 'Emily Hahn', 'Don Rickles', 'Lori Alan', 'Estelle Harris', 'John Ratzenberger', 'Mark Walsh', 'Timothy Dalton', 'Joan Cusack', 'Sherry Lynn', 'Lori Richardson']",BT [2],,,,Axel Geddes [1],"['Walt Disney Pictures', 'Pixar Animation Studios', 'Pixar Canada']",,"['Walt Disney Studios', 'Motion Pictures', '(theatrical release)', 'Disney-ABC Domestic Television', '(television distributor)']","['Mark Walsh', 'John Lasseter', '[1]']",,"['September14,2012 ( 2012-09-14 ) (with Finding Nemo 3D )']",7 minutes [1],United States,English,,
Parkland,Peter Landesman,"['Gary Goetzman', 'Tom Hanks', 'Bill Paxton', 'Nigel Sinclair', 'Matt Sinclair']",,"['James Badge Dale', 'Zac Efron', 'Jackie Earle Haley', 'Tom Welling', 'Colin Hanks', 'David Harbour', 'Marcia Gay Harden', 'Ron Livingston', 'Jeremy Strong', 'Billy Bob Thornton', 'Jacki Weaver', 'Paul Giamatti']",James Newton Howard [1],"['Four Days in November: The Assassination of President John F. Kennedy', 'by', 'Vincent Bugliosi']",Barry Ackroyd,Peter Landesman,"['Markus Czyzewski', 'Leo Trombetta']","['American Film Company', 'Playtone']",,Exclusive Media Group,,,"['September1,2013 ( 2013-09-01 ) ( Venice Film Festival )', 'October4,2013 ( 2013-10-04 ) (United States)']",93 minutes [2],United States,English,$10 million [3],$1.6 million [3]
Captain Phillips,Paul Greengrass,"['Scott Rudin', 'Dana Brunetti', 'Michael De Luca']",,"['Tom Hanks', 'Barkhad Abdi']",Henry Jackman,"[""A Captain's Duty"", 'by', 'Richard Phillips', 'Stephan Talty']",Barry Ackroyd,Billy Ray,Christopher Rouse,"['Columbia Pictures', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",,Sony Pictures Releasing,,,"['September27,2013 ( 2013-09-27 ) ( NYFF )', 'October11,2013 ( 2013-10-11 ) (United States)']",134 minutes [1],United States,"['English', 'Somali']",$55 million [2],$218.8 million [2]
Saving Mr. Banks,John Lee Hancock,"['Alison Owen', 'Ian Collie', 'Philip Steuer']","['Kelly Marcel', 'Sue Smith']","['Emma Thompson', 'Tom Hanks', 'Paul Giamatti', 'Jason Schwartzman', 'Bradley Whitford', 'Colin Farrell']",Thomas Newman,,John Schwartzman,,Mark Livolsi,"['Walt Disney Pictures', 'Ruby Films', 'Essential Media and Entertainment', 'BBC Films', 'Hopscotch Features']",,"['Walt Disney Studios', 'Motion Pictures']",,,"['October20,2013 ( 2013-10-20 ) ( BFI London Film Festival )', 'November29,2013 ( 2013-11-29 ) (United States)', 'December13,2013 ( 2013-12-13 ) (United Kingdom)', 'January9,2014 ( 2014-01-09 ) (Australia)']",125 minutes [1],"['Australia', 'United Kingdom', 'United States']",English,$35 million [2],$117.9 million [3]
Bridge of Spies,Steven Spielberg,"['Steven Spielberg', 'Marc Platt', 'Kristie Macosko Krieger']","['Matt Charman', 'Ethan Coen Joel Coen']","['Tom Hanks', 'Mark Rylance', 'Amy Ryan', 'Alan Alda']",Thomas Newman,,Janusz Kamiński,,Michael Kahn,"['Touchstone Pictures', 'DreamWorks Pictures [1]', 'Reliance Entertainment [2]', 'Afterworks Limited [2]', 'Studio Babelsberg [2]', 'Amblin Entertainment [2]', 'Marc Platt Productions [2]', 'Participant Media [2]', 'Fox 2000 Pictures [2]']",,['Walt Disney Studios Motion Pictures (North America) 20th Century Fox (International)'],,,"['October4,2015 ( 2015-10-04 ) ( New York Film Festival )', 'October16,2015 ( 2015-10-16 ) (United States)', 'November26,2015 ( 2015-11-26 ) (Germany)']",141 minutes [3] [4],"['United States', 'Germany']","['English', 'German']",$40 million [5],$165.5 million [6]
Ithaca,Meg Ryan,"['Janet Brenner', 'Laura Ivey', 'Erik Jendresen']",Erik Jendresen,"['Alex Neustaedter', 'Meg Ryan', 'Jack Quaid', 'Sam Shepard', 'Hamish Linklater', 'Tom Hanks']",John Mellencamp,"['The Human Comedy', 'by', 'William Saroyan']",Andrew Dunn,,John F. Lyons,"['Apple Lane Productions', 'Playtone']",,Momentum Pictures,,,"['October23,2015 ( 2015-10-23 ) (Middleburg Film Festival)', 'September9,2016 ( 2016-09-09 ) (United States)']",96 minutes [1],United States,English,,
My Big Fat Greek Wedding 2,Kirk Jones,"['Gary Goetzman', 'Tom Hanks', 'Rita Wilson']",Nia Vardalos,"['Nia Vardalos', 'John Corbett', 'Lainie Kazan', 'Michael Constantine', 'Andrea Martin', 'Ian Gomez', 'Elena Kampouris']",Christopher Lennertz,,Jim Denault,,Markus Czyzewski,,"['Gold Circle Films', 'HBO Films', 'Playtone']",Universal Pictures,,,"['March15,2016 ( 2016-03-15 ) ( New York City )', 'March25,2016 ( 2016-03-25 ) (United States)']",94 minutes [1],United States,English,$18 million [2],$90.6 million [3]
A Hologram for the King,Tom Tykwer,"['Stefan Arndt', 'Gary Goetzman', 'Arcadiy Golubovich', 'Tom Hanks', 'Uwe Schott', ""Tim O'Hair""]",,"['Tom Hanks', 'Alexander Black', 'Sarita Choudhury', 'Sidse Babett Knudsen', 'Ben Whishaw', 'Tom Skerritt']","['Johnny Klimek', 'Tom Tykwer']","['A Hologram for the King', 'by', 'Dave Eggers']",Frank Griebe,Tom Tykwer,Alexander Berner,"['Playtone', 'X-Filme Creative Pool', 'Primeridian Entertainment', 'Silver Reel']",,"['Lionsgate', 'Roadside Attractions', 'Saban Films']",,,"['April20,2016 ( 2016-04-20 ) ( Tribeca Film Festival )', 'April22,2016 ( 2016-04-22 ) (United States)']",97 minutes [1],"['France [2]', 'Germany [2]', 'Cayman Islands [2]', 'Mexico [2]', 'United States [2]']",English,$35 million [3] [4],$11.8 million [5]
Sully,Clint Eastwood,"['Clint Eastwood', 'Frank Marshall', 'Tim Moore', 'Allyn Stewart']",Todd Komarnicki,"['Tom Hanks', 'Aaron Eckhart', 'Laura Linney']","['Christian Jacob', 'The Tierney Sutton Band']","['Chesley Sullenberger', 'Jeffrey Zaslow']",Tom Stern,,Blu Murray,,"['Village Roadshow Pictures', 'Flashlight Films', 'The Kennedy/Marshall Company', 'Malpaso Productions', 'Orange Corp']",Warner Bros.,,,"['September2,2016 ( 2016-09-02 ) ( Telluride )', 'September9,2016 ( 2016-09-09 ) (United States)']",96 minutes [1] [2],United States,English,$60 million [3] [4],$240.8 million [5]
California Typewriter,Doug Nichol,"['John Benet', 'Doug Nichol']",,"Tom Hanks , John Mayer , Sam Shepard , David McCullough",,,Doug Nichol,,Doug Nichol,American Buffalo Pictures,,Gravitas Ventures,,,"['September2,2016 ( 2016-09-02 ) (Telluride Film Festival)']",103 minutes,United States,English,,
Inferno,Ron Howard,"['Brian Grazer', 'Ron Howard']",,"['Tom Hanks', 'Felicity Jones', 'Irrfan Khan', 'Omar Sy', 'Ben Foster', 'Sidse Babett Knudsen']",Hans Zimmer,"['Inferno', 'by', 'Dan Brown']",Salvatore Totino,David Koepp,"['Dan Hanley', 'Tom Elkins']",,"['Columbia Pictures', 'Imagine Entertainment', 'LSG Productions', 'LStar Capital Film Corporation', 'Mid Atlantic Films']",Sony Pictures Releasing,,,"['October8,2016 ( 2016-10-08 ) ( Florence )', 'October28,2016 ( 2016-10-28 ) (United States)']",121 minutes [1],United States,English,$75 million [2],$220 million [2]
The Circle,James Ponsoldt,"['Anthony Bregman', 'Gary Goetzman', 'Tom Hanks', 'James Ponsoldt']",,"['Emma Watson', 'Tom Hanks', 'John Boyega', 'Karen Gillan', 'Ellar Coltrane', 'Patton Oswalt', 'Glenne Headly', 'Bill Paxton']",Danny Elfman,"['The Circle', 'by Dave Eggers']",Matthew Libatique,"['James Ponsoldt', 'Dave Eggers']",Lisa Lassek,,"['Image Nation Abu Dhabi', 'Playtone', 'Likely Story', 'IM Global']",STX Films,,,"['April26,2017 ( 2017-04-26 ) ( Tribeca )', 'April28,2017 ( 2017-04-28 ) (United States)']",110 minutes [1],United States,English,$18 million [2],$40.7 million [2]
Mark Felt: The Man WhoBrought Down the White House,Peter Landesman,"['Ridley Scott', 'Giannina Scott', 'Marc Butan', 'Anthony Katagas', 'Peter Landesman', 'Steve Richards', 'Jay Roach']",Peter Landesman,"['Liam Neeson', 'Diane Lane', 'Marton Csokas', 'Ike Barinholtz', 'Tony Goldwyn', 'Tom Sizemore', 'Bruce Greenwood', 'Michael C. Hall', ""Brian d'Arcy James"", 'Josh Lucas', 'Eddie Marsan', 'Wendi McLendon-Covey', 'Maika Monroe']",Daniel Pemberton,,Adam Kimmel,,Tariq Anwar,"['Mandalay', 'Endurance Media Ventures', 'Torridon Films', 'Riverstone Pictures', 'MadRiver Pictures', 'Scott Free Productions', 'Cara Films']",,Sony Pictures Classics,,,"['September8,2017 ( 2017-09-08 ) ( TIFF )', 'September29,2017 ( 2017-09-29 ) (United States)']",103 minutes [1],United States,English,,$1.8 million [2]
The Post,Steven Spielberg,"['Steven Spielberg', 'Kristie Macosko Krieger', 'Amy Pascal']","['Liz Hannah', 'Josh Singer']","['Meryl Streep', 'Tom Hanks', 'Sarah Paulson', 'Bob Odenkirk', 'Tracy Letts', 'Bradley Whitford', 'Bruce Greenwood', 'Matthew Rhys']",John Williams,,Janusz Kamiński,,"['Michael Kahn', 'Sarah Broshar']","['20th Century Fox [1]', 'DreamWorks Pictures [2]', 'Amblin Partners [1]', 'Amblin Entertainment [1]', 'Pascal Pictures [1]', 'Star Thrower Entertainment [1]', 'Participant Media [3]']",,"['20th Century Fox [1] (North America)', 'Entertainment One (United Kingdom)', 'Universal Pictures (International)']",,,"['December14,2017 ( 2017-12-14 ) ( Newseum )', 'December22,2017 ( 2017-12-22 ) (United States)']",116 minutes [4],United States,English,$50 million [5],$179.8 million [6]
Mamma Mia! Here We Go Again,Ol Parker,"['Judy Craymer', 'Gary Goetzman']",,"['Christine Baranski', 'Pierce Brosnan', 'Dominic Cooper', 'Colin Firth', 'Andy Garcia', 'Lily James', 'Amanda Seyfried', 'Stellan Skarsgård', 'Julie Walters', 'Cher', 'Meryl Streep']",Anne Dudley,"['Mamma Mia!', 'by Catherine Johnson']",Robert Yeoman,Ol Parker,Peter Lambert,"['Playtone [1]', 'Littlestar Productions [1]', 'Legendary Pictures [2]', 'Perfect World Pictures']",,Universal Pictures,"['Catherine Johnson', 'Richard Curtis', 'Ol Parker']",,"['July16,2018 ( 2018-07-16 ) ( Hammersmith Apollo )', 'July20,2018 ( 2018-07-20 ) (United Kingdom & United States)']",114 minutes [3],"['United Kingdom', 'United States']",English,$75 million [4],"$395
million [4]"
Toy Story 4,Josh Cooley,"['Mark Nielsen [1]', 'Jonas Rivera']",,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Jordan Peele', 'Madeleine McGraw', 'Christina Hendricks', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack']",Randy Newman [3],,"['Patrick Lin', 'Jean-Claude Kalache']","['Andrew Stanton', 'Stephany Folsom']",Axel Geddes,,"['Walt Disney Pictures', 'Pixar Animation Studios']","['Walt Disney Studios', 'Motion Pictures']","['John Lasseter', 'Andrew Stanton [2]', 'Josh Cooley', 'Valerie LaPointe', 'Rashida Jones', 'Will McCormack', 'Martin Hynes', 'Stephany Folsom']",,"['June11,2019 ( 2019-06-11 ) ( El Capitan Theatre )', 'June21,2019 ( 2019-06-21 ) (United States)']",100 minutes [4],United States,English,$200 million [5],$1.073 billion [6] [7]
A Beautiful Day in the Neighborhood,Marielle Heller,"['Youree Henley', 'Peter Saraf', 'Marc Turtletaub', 'Leah Holzer']","['Micah Fitzerman-Blue', 'Noah Harpster']","['Tom Hanks', 'Matthew Rhys', 'Susan Kelechi Watson', 'Chris Cooper']",Nate Heller,"['""Can You Say', '... Hero?""', 'by', 'Tom Junod']",Jody Lee Lipes,,Anne McCabe,"['TriStar Pictures', 'Tencent Pictures', 'Big Beach', 'Mr. Youree Productions']",,Sony Pictures Releasing,,,"['September7,2019 ( 2019-09-07 ) ( TIFF )', 'November22,2019 ( 2019-11-22 ) (United States)']",109 minutes [1],United States,English,$25 million [2],$68.3 million [2] [3]
Greyhound,Aaron Schneider,Gary Goetzman,,"['Tom Hanks', 'Stephen Graham', 'Rob Morgan', 'Elisabeth Shue']",Blake Neely,"['The Good Shepherd', 'by', 'C. S. Forester']",Shelly Johnson,Tom Hanks,"['Mark Czyzewski', 'Sidney Wolinsky']","['Sony Pictures Entertainment [1]', 'Stage 6 Films', 'Bron Creative', 'Zhengfu Pictures', 'Sycamore Pictures', 'FilmNation Entertainment', 'Playtone']",,Apple TV+,,,"['July10,2020 ( 2020-07-10 ) (United States)']",91 minutes [2],United States,English,$50.3 million [3] [4],
Borat Subsequent Moviefilm,Jason Woliner,"['Sacha Baron Cohen', 'Anthony Hines', 'Monica Levinson']",,"['Sacha Baron Cohen', 'Maria Bakalova']",Erran Baron Cohen [1],"['Borat Sagdiyev', 'by Sacha Baron Cohen']",Luke Geissbühler,"['Peter Baynham', 'Sacha Baron Cohen', 'Jena Friedman', 'Anthony Hines', 'Lee Kern', 'Dan Mazer', 'Erica Rivinoja', 'Dan Swimer']","['Craig Alpert', 'Michael Giambra', 'James Thomas']","['Four by Two Films', 'Oak Springs Productions [2]']",,"['Amazon Studios', 'Prime Video']","['Sacha Baron Cohen', 'Anthony Hines', 'Nina Pedrad', 'Dan Swimer']",,"['October23,2020 ( 2020-10-23 )']",96 minutes,United States,"['English', 'Hebrew', 'Polish', 'Bulgarian']",,
News of the World,Paul Greengrass,"['Gary Goetzman', 'Gregory Goodman', 'Gail Mutrux']",,['Tom Hanks'],James Newton Howard [1],"['News of the World', 'by', 'Paulette Jiles']",Dariusz Wolski,"['Paul Greengrass', 'Luke Davies']",William Goldenberg,,"['Playtone [2]', 'Pretty Pictures [2]']",Universal Pictures,,,"['December25,2020 ( 2020-12-25 )']",,United States,English,,
BIOS,,"['Craig Luck', 'Daniel Maze', 'Kevin Misher', 'Ivor Powell', 'Jack Rapke', 'Miguel Sapochnik', 'Robert Zemeckis']","['Craig Luck', 'Ivor Powell']","['Tom Hanks', 'Caleb Landry Jones', 'Samira Wiley', 'Laura Harrier', 'Skeet Ulrich']",Gustavo Santaolalla,,Jo Willems,,Tim Porter,"['Amblin Partners', 'Amblin Entertainment', 'Dutch Angle', 'ImageMovers', 'Playtone', 'Alibaba Pictures', 'Misher Films']",,Universal Pictures,,,"['April16,2021 ( 2021-04-16 ) (United States)']",,United States,English,,
Elvis,,"['Baz Luhrmann', 'Gail Berman', 'Catherine Martin', 'Patrick McCormick', 'Schuyler Weiss']",,"['Austin Butler', 'Tom Hanks', 'Olivia DeJonge', 'Yola', 'Luke Bracey', 'Dacre Montgomery', 'Helen Thomson', 'Richard Roxburgh', 'David Wenham']",Elliott Wheeler [1],,Mandy Walker,"['Kelly Marcel', 'Baz Luhrmann', 'Craig Pearce', 'Sam Bromell']","['Matt Villa', 'Jonathan Redmond']","['Bazmark Films', 'The Jackal Group']",,Warner Bros. Pictures,,,"['November5,2021 ( 2021-11-05 ) (United States)']",,"['United States', 'Australia']",English,,
