title,Directed by,Produced by,Written by,Starring,Music by,Based on,Cinematography,Screenplay by,Edited by,Production company,Production companies,Distributed by,Story by,Narrated by,Release date,Running time,Country,Language,Budget,Box office
Joe Versus the Volcano,John Patrick Shanley,Teri Schwartz,John Patrick Shanley,"['Tom Hanks', 'Meg Ryan', 'Lloyd Bridges', 'Robert Stack', 'Abe Vigoda', 'Dan Hedaya', 'Barry McGovern', 'Ossie Davis']",Georges Delerue,,Stephen Goldblatt,,"['Richard Halsey', 'Kenneth Wannberg']",Amblin Entertainment,,Warner Bros.,,,"['March9,1990 ( 1990-03-09 )']",102 minutes [1],United States,English,$25 million,$39.4 million [2]
The Bonfire of the Vanities,Brian De Palma,Brian De Palma,,"['Tom Hanks', 'Bruce Willis', 'Melanie Griffith', 'Morgan Freeman']",Dave Grusin,"['The Bonfire of the Vanities', 'by', 'Tom Wolfe']",Vilmos Zsigmond,Michael Cristofer,"['Bill Pankow', 'David Ray']",,,Warner Bros.,,,"['December21,1990 ( 1990-12-21 )']",126 minutes,United States,English,$47 million,$15.6 million
Radio Flyer,Richard Donner,Lauren Shuler Donner,David Mickey Evans,"['Lorraine Bracco', 'John Heard', 'Elijah Wood', 'Joseph Mazzello', 'Adam Baldwin']",Hans Zimmer,,László Kovács,,Stuart Baird,"['Stonebridge Entertainment', 'Donner/Shuler-Donner Productions']",,Columbia Pictures,,,"February 21, 1992",114 minutes,United States,English,$35 million,"$4,651,977"
A League of Their Own,Penny Marshall,"['Elliot Abbott', 'Robert Greenhut']",,"['Tom Hanks', 'Geena Davis', 'Madonna', 'Lori Petty', 'Jon Lovitz', 'David Strathairn', 'Garry Marshall', 'Bill Pullman']",Hans Zimmer,,Miroslav Ondricek,"['Lowell Ganz', 'Babaloo Mandel']",George Bowers,Parkway Productions,,Columbia Pictures,"['Kelly Candaele', 'Kim Wilson']",,"['July1,1992 ( 1992-07-01 )']",128 minutes,United States,,$40 million,$132.4 million [1]
Sleepless in Seattle,Nora Ephron,Gary Foster,,"['Tom Hanks', 'Meg Ryan', 'Bill Pullman', 'Ross Malinger', 'Gaby Hoffmann', 'Rob Reiner']",Marc Shaiman,,Sven Nykvist,"['Jeff Arch', 'Nora Ephron', 'David S. Ward']",Robert M. Reitano,,,TriStar Pictures,Jeff Arch,,"['June25,1993 ( 1993-06-25 )']",105 minutes [1],United States,English,$21 million [2],$227.9 million [2]
Philadelphia,Jonathan Demme,"['Jonathan Demme', 'Edward Saxon']",Ron Nyswaner,"['Tom Hanks', 'Denzel Washington', 'Jason Robards', 'Mary Steenburgen', 'Antonio Banderas']",Howard Shore,,Tak Fujimoto,,Craig McKay,Clinica Estetico,,TriStar Pictures,,,"['December14,1993 ( 1993-12-14 ) (Los Angeles)', 'December22,1993 ( 1993-12-22 ) (United States)']",126 minutes,United States,English,$26 million,$206.7 million [1]
Forrest Gump,Robert Zemeckis,"['Wendy Finerman', 'Steve Tisch', 'Steve Starkey']",,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field']",Alan Silvestri,"['Forrest Gump', 'by', 'Winston Groom']",Don Burgess,Eric Roth,Arthur Schmidt,The Tisch Company [1],,Paramount Pictures [1],,,"['June23,1994 ( 1994-06-23 ) ( Los Angeles )', 'July6,1994 ( 1994-07-06 ) (United States)']",142 minutes,United States [1],English,$55 million [2],$683.1 million [2]
Apollo 13,Ron Howard,Brian Grazer,,"['Tom Hanks', 'Kevin Bacon', 'Bill Paxton', 'Ed Harris', 'Gary Sinise', 'Kathleen Quinlan']",James Horner,"['Lost Moon', 'by', 'Jim Lovell', 'Jeffrey Kluger']",Dean Cundey,"['William Broyles Jr.', 'Al Reinert']","['Daniel P. Hanley', 'Mike Hill']","['Universal Pictures', 'Imagine Entertainment']",,Universal Pictures,,,"['June30,1995 ( 1995-06-30 ) (United States)']",140 minutes,United States,English,$52 million [1],$355.2 million [2]
Toy Story,John Lasseter,"['Bonnie Arnold', 'Ralph Guggenheim']",,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten']",Randy Newman,,,"['Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']","['Robert Gordon', 'Lee Unkrich']","['Walt Disney Pictures', 'Pixar Animation Studios']",,Buena Vista Pictures Distribution,"['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft']",,"['November19,1995 ( 1995-11-19 ) ( El Capitan Theatre )', 'November22,1995 ( 1995-11-22 ) (United States)']",81 minutes [1],United States,English,$30million [2],$373.6million [3]
That Thing You Do!,Tom Hanks,"['Jonathan Demme', 'Gary Goetzman', 'Edward Saxon']",Tom Hanks,"['Tom Everett Scott', 'Liv Tyler', 'Johnathon Schaech', 'Steve Zahn', 'Ethan Embry', 'Tom Hanks']",Howard Shore,,Tak Fujimoto,,Richard Chew,Clavius Base,,20th Century Fox,,,"['October4,1996 ( 1996-10-04 )']","['108 minutes', '148 minutes ( Extended cut )']",United States,English,$26 million,$34.5 million [1]
